ref_hash,preds
7064502476789131918_sc,100405.91
1035280607363344587_sc,154292.12
5168480331343784641_sc,12734.544
9053005244312065612_sc,101332.09
9063257632274983231_sc,1725728.4
2687194227655899526_sc,164698.31
7261979468500642457_sc,112192.98
7144079206525550367_sc,163780.36
5231692084246908945_sc,170110.2
8017358878921975871_sc,166199.48
2694104942653382075_sc,94827.836
9046313955021915637_sc,1731108.0
2975579625001495762_sc,135048.02
2210198599897643904_sc,1724432.6
7635788950279498007_sc,1726610.0
4495916223579760228_sc,63452.25
1858865597013279549_sc,1705003.0
926787019309357429_sc,167012.3
4884169055841974925_sc,69829.96
4405455561570966924_sc,1657887.4
7899234764843951359_sc,1705961.0
881976899674769760_sc,859780.94
2131605067948079457_sc,57460.48
5615513452997211592_sc,1723326.0
8545549693575629541_sc,17768.13
3254303117538886716_sc,16082.113
1625739250506947840_sc,129050.414
1187703095157236338_sc,1736868.6
1378285835832269608_sc,140371.97
8437420457115198019_sc,93007.13
7287238395676584731_sc,170785.2
3221973010565552118_sc,-149.68698
7016256728813848493_sc,1715805.5
7588915384069920511_sc,28220.291
4450586459592083888_sc,91153.695
7480261756138326020_sc,69987.21
5432895353602200766_sc,157749.94
2457629104566491448_sc,98162.055
2889297141709600079_sc,47505.168
8688712706014263521_sc,159747.86
4764109661904236483_sc,1718309.6
269604810125821624_sc,1719415.6
4080123718095709627_sc,1718592.6
7512827995588927159_sc,1596178.4
1659464003285580300_sc,161021.1
6865151551440256998_sc,108591.43
5245731671885154965_sc,79688.06
3909755303960091525_sc,1714503.0
2126798613450151479_sc,12972.7295
3312712881780564662_sc,1709506.4
5400960178042129194_sc,84681.63
5583503247731000341_sc,74746.02
762589917475278369_sc,169626.16
2047887559058824128_sc,110096.22
6673670444940863757_sc,82088.7
5382057684213680221_sc,94925.69
5856079944716147368_sc,77303.26
7386830116283132845_sc,1723642.9
4820117126653197112_sc,1708463.0
7359098011754872024_sc,150944.45
6870203084135806645_sc,95387.06
6231644462414358649_sc,141416.94
3832755237201742921_sc,94082.09
5429208075662088476_sc,1690685.4
1051325225791552858_sc,64994.324
119960035237691179_sc,1730228.0
595376607811516142_sc,1717258.9
2840779992555262748_sc,1727947.0
8738160311916684826_sc,1738.2396
7134034797284502924_sc,56957.027
6786246503693513113_sc,93983.1
6111046585180281192_sc,13900.513
8585531177476662573_sc,1715159.1
581069028384086448_sc,92724.07
7045930019536444950_sc,1719752.4
5087007920238657719_sc,72643.73
6388182362046862070_sc,158022.08
2881610384300983135_sc,27905.43
3178126139649626980_sc,157375.92
7728304515072155344_sc,1727612.0
6798241890792546094_sc,1710809.6
2178433294389226958_sc,101431.81
6689968697161284851_sc,91165.15
3902163655347065556_sc,1719521.1
6353246338479121385_sc,1725309.6
6683271979599281227_sc,14538.898
8175329255283043289_sc,1730228.0
8206358208751638302_sc,67204.46
8230838006715658379_sc,72832.98
3550562737509196199_sc,108591.43
4734363993054777378_sc,1733763.0
8607919100822813629_sc,90750.06
7268989777273083991_sc,94707.03
617928002689642943_sc,30407.635
8979490691630410237_sc,147308.4
1309084618919856179_sc,56681.11
2919603095748418345_sc,170634.27
7395212303687556748_sc,1725242.4
2615914346784829700_sc,3622.6604
6485519940970296335_sc,62834.42
963800853524682310_sc,31053.307
3753177885883969993_sc,12758.8545
7970648655052865102_sc,830049.5
2193562596911482682_sc,46376.375
5393303456695158230_sc,1719632.0
4531589899460988257_sc,119834.93
7861019460013644663_sc,58529.832
5328065052419996866_sc,153769.95
6905627853081645190_sc,88915.54
5006190952510317390_sc,1695077.6
5641106537400323384_sc,135354.44
211527147823114977_sc,5515.939
2546698820748203257_sc,71755.086
8831410438084006735_sc,1684551.4
5884503395934431391_sc,97774.32
7472671651669957325_sc,1723150.4
5515711203386187127_sc,1727097.9
5189928443157241133_sc,170378.61
8833784721890747273_sc,81627.43
2427383398571684529_sc,1649550.0
8748433847496329931_sc,1720953.1
240879029157136807_sc,69641.12
406841228494860789_sc,1658777.5
5546838859617275727_sc,1451627.0
1207832557084324909_sc,132260.36
8857674906873495006_sc,127029.71
5651503337755174879_sc,54061.863
567411122324287938_sc,65844.72
8798956391893626969_sc,51900.188
6225511359472630200_sc,-3526.3953
1128231883440077870_sc,1706398.9
6879261482140983759_sc,1710989.4
9157978703851791768_sc,142289.05
5859057432865064287_sc,51675.875
69642053694505961_sc,74742.664
2425880125886262300_sc,1715017.4
8150810659200393069_sc,54235.277
3416520741522323992_sc,32735.408
9143446503318975870_sc,1735117.5
7561830247236113946_sc,1712661.4
3781254697226534590_sc,157500.8
6075001599194283685_sc,1713782.6
4591126832674210736_sc,1712581.4
8884849788694847505_sc,1718922.5
260519807471228947_sc,83500.96
5305038798307766626_sc,1723160.6
8296199181578993782_sc,52759.11
4072472641146766934_sc,93590.414
4757985906535664532_sc,74325.35
4420223839865998514_sc,19803.025
8923869024498769135_sc,146583.84
7006571308624107812_sc,67493.35
608985210943770378_sc,1721844.6
393683005979159700_sc,98777.6
551213903094303956_sc,1726112.5
7905159132888757558_sc,1722237.0
1343959495593029116_sc,72113.375
4400115213511618871_sc,1716446.6
3861069376569921731_sc,12624.544
2671152829669236735_sc,166665.94
5530386790640284385_sc,1722554.1
4662557014940698103_sc,1715645.4
7282386583170749505_sc,1727329.1
2100153451101664333_sc,1724126.0
1636546375095102562_sc,1705757.1
7959209218845023270_sc,101115.195
5087601741318102716_sc,1727796.5
6332745560144362373_sc,1713406.6
7285663488890840030_sc,1722572.5
6874259189707944215_sc,135963.45
8703941007866218252_sc,125638.48
7127713238257049006_sc,99062.0
3210584166061592326_sc,1662203.4
4897249418517400233_sc,1709746.9
8248234114026365909_sc,166098.98
8971564569094767364_sc,1725024.4
3836417181791324730_sc,141953.25
9204732405838936563_sc,101115.195
3654616044040908365_sc,165135.94
7723081471205333089_sc,1724964.1
3765980756750478328_sc,107402.23
5427229892228497004_sc,171344.7
6769983378846108721_sc,73535.68
527989573712995542_sc,1623305.0
5247600112119181243_sc,18698.57
3927904630570496311_sc,1724424.1
8208680854315816669_sc,52604.42
806710150169839026_sc,58152.184
8805009622284671573_sc,1715937.4
3375885240733228050_sc,1727651.4
4935925017031244854_sc,1725227.6
6179766192529063322_sc,1716680.1
3304538045277530461_sc,161010.83
769154874902156562_sc,1729896.0
6104834896988300309_sc,167125.94
4147937657432605282_sc,112843.01
7822928064991903904_sc,1726112.5
4035644969747363529_sc,80548.805
2597596279017192147_sc,102473.9
3181473277948634101_sc,1720888.6
1016319764750889928_sc,1705588.6
9145811913594797552_sc,106218.09
6787413532118378736_sc,81547.93
4823733480712120789_sc,88994.71
2769252831351923043_sc,1725226.0
5036138491768811228_sc,1705759.4
1763364832053299998_sc,32949.215
6497787368529422272_sc,92865.77
5341093441295139368_sc,1717423.1
337828443494266323_sc,152582.11
3399647334895707537_sc,110194.414
3794090244746493072_sc,10505.995
1988530140115793524_sc,43887.277
1799902162939178495_sc,89356.836
5597634486457236130_sc,32173.174
8564036423116597309_sc,1720781.5
3204827242211932109_sc,1715659.5
5990384633225935894_sc,2827.5637
8538720322100459480_sc,56700.145
187328072631977348_sc,93855.98
113886191042410580_sc,1699896.5
4347820442968443666_sc,13648.875
9183201464428554408_sc,1726670.6
740872151597161878_sc,1726671.6
1770870835605863238_sc,1710462.5
9069490553876109817_sc,166017.19
6710251543609695707_sc,63059.69
2981027424046997154_sc,1729549.9
4497671330461419112_sc,84118.73
7726259543140488640_sc,1682648.4
1867864012091968751_sc,1735407.5
1985166046730201515_sc,78391.24
7580202480782886862_sc,1716993.4
5890778919144158484_sc,102625.875
7561802093266163503_sc,1729098.4
719834578578842886_sc,1722593.6
8001369995626436493_sc,99377.24
3662789655133080172_sc,1168260.8
7073107614990214114_sc,1731017.6
790482814055663529_sc,160642.77
7304648483878877623_sc,1733007.9
6033320236265204735_sc,1725727.0
4791255600542410306_sc,150964.38
7570757682557711916_sc,1721466.6
6505046059566100882_sc,1712981.1
7229894198719544005_sc,113392.04
4999942293181901888_sc,12477.991
4510799890074341020_sc,1694612.6
6161526960375223829_sc,1729400.5
4499944900596616215_sc,1682177.6
3427521427327180747_sc,1742863.6
818229733678035390_sc,91308.81
723958446844768849_sc,148.17668
1058708511269044606_sc,23147.93
1423600322808059179_sc,1719085.0
2225242991150461856_sc,12988.12
1081401398658724588_sc,102751.125
8911048913470289157_sc,128659.54
2833992410157225863_sc,1571.5167
425806941904995631_sc,65532.72
7873926644238569447_sc,1733329.0
362815826797379269_sc,62997.375
4578014295029889409_sc,160691.95
2900308932711497451_sc,165836.55
1947215784050862017_sc,1726109.5
3823005818621882967_sc,154292.12
1342202510606113870_sc,1704316.0
5399465587653425078_sc,1728440.0
4104077294423492320_sc,14833.427
8619232602047885458_sc,99638.78
4293924183583206656_sc,136472.9
2190877170629557165_sc,1723260.0
3199369136425799377_sc,169832.97
7183057462585240809_sc,1722151.9
4869360346083876456_sc,79627.96
2979823735384256872_sc,80316.13
6293748369341775917_sc,77009.13
1382554923980052154_sc,146924.31
1834503851256091318_sc,1726676.0
5697512669686894928_sc,170796.17
3982594168824222043_sc,37127.832
2344507161878373243_sc,1731795.4
4405943875611014046_sc,102802.56
8350795174717051394_sc,1713548.9
5906704933571652141_sc,1726579.4
8704656644069691133_sc,1731817.1
8088411263238457134_sc,69613.61
8369274454165683166_sc,50364.31
3510895743991878415_sc,100369.54
8069201617288352427_sc,158450.14
4888809082169098491_sc,111768.77
8376367845556722085_sc,167013.48
2281354405740458236_sc,159651.0
8388550094514961645_sc,1733321.6
2958000440677911034_sc,1732046.4
5142370013069529655_sc,124832.07
5054467452707346475_sc,102473.9
8311128951274284013_sc,7090.871
2139140439222110725_sc,94182.48
5266130234009596599_sc,26946.26
8569807397010229468_sc,91022.695
330142146893862025_sc,148039.88
8998817499780237027_sc,55745.184
533931786387016718_sc,16045.88
1924556509813238153_sc,74097.91
4552885257079178047_sc,1707230.0
7004678564985995456_sc,1739613.6
1381580764184085518_sc,144497.92
4465249344954141823_sc,1726284.0
803332967787045206_sc,91205.414
4350285829556512228_sc,112414.24
4655767082106240354_sc,4341.3394
6498382824542397356_sc,1729521.0
3528324678052312782_sc,1729969.6
13035611488990366_sc,91564.66
4641488476655238121_sc,163095.31
844018574875656966_sc,108239.16
142135087938385162_sc,149176.45
86726366455475503_sc,148761.97
5837766114677718199_sc,1714886.4
7712388483555599234_sc,1709659.4
3473009280369913077_sc,1707384.9
991449875626854350_sc,1725856.4
952452450170964240_sc,160392.61
9000452700456056623_sc,9484.775
4829146279716997760_sc,1736358.0
8736111409406916926_sc,1722721.9
2711025497125163093_sc,101157.56
5086342883928952808_sc,73632.18
2439974873535102718_sc,1711853.4
8128386983060649446_sc,131398.56
4166737156821961401_sc,1688936.6
9183203596471240371_sc,93151.445
2380891884285944597_sc,161347.23
3429745192658235295_sc,18310.975
6876193229798166327_sc,1698584.0
8635908802586060559_sc,83018.85
8549054762094397130_sc,1719379.1
2131073365623455954_sc,1667926.9
3186436097440151502_sc,147604.75
7295557920650883664_sc,1722315.6
6890026113567958403_sc,26774.047
564004350555999555_sc,4134.274
8312064461053007757_sc,97816.69
9185861112749416290_sc,1721795.4
1722663099555151417_sc,1731618.6
7692855889618866600_sc,140185.3
1905934759752665190_sc,1717817.4
6233003563909209112_sc,135693.23
3265301598996761946_sc,1727297.6
100694208744052260_sc,91312.65
1207201858534561317_sc,1721468.4
1534385599328482449_sc,1717706.0
1742012225265158366_sc,59501.605
8193748441172887567_sc,1716247.5
2849826564186881773_sc,1729012.9
2348757130522368419_sc,99034.49
4384104474628837788_sc,1643656.6
1342533233928452514_sc,1714288.0
6597426539062105664_sc,59565.77
8594223804197575178_sc,1737782.9
5899139206529358173_sc,1737291.6
4876383126167313652_sc,7087.135
7977531891510060983_sc,84363.22
8484044544910359209_sc,1728858.5
5314557953181898434_sc,66700.0
2545663214776611026_sc,1723095.5
2132931863932486901_sc,1718232.0
8810579529439919673_sc,1734159.9
1140130452862640557_sc,1729783.0
8029292381762170756_sc,1723914.4
2373513665861066210_sc,941701.0
6392990948967093176_sc,170413.3
6289761688096849724_sc,144011.02
6940954871527160720_sc,84308.25
8677108904904436275_sc,89388.02
8590392120260347460_sc,108555.49
8645091002277817516_sc,9252.975
5365360732775361274_sc,93200.836
2637347629536389517_sc,152882.92
8299069181407777237_sc,103375.305
593926634771308135_sc,1733007.9
6146596345434994807_sc,107589.4
3725047523011782463_sc,28992.57
5815458729264728723_sc,167125.94
6251241410525172639_sc,1730886.5
9170444189317507039_sc,1726386.0
8780847826326317122_sc,101431.81
3866704754298497412_sc,82106.46
2928336219417918176_sc,64042.656
2704666526853767766_sc,137828.8
5581487064559678922_sc,1719868.4
7925610118614153482_sc,80246.55
1526566537401079127_sc,19182.643
2660337091780236204_sc,21293.438
5164224836500139593_sc,16290.367
815941349110924095_sc,1720193.0
4267841456184766706_sc,93586.68
532538599495929539_sc,11636.602
6990597349727317012_sc,1717752.6
7645166009656216520_sc,1724197.0
487991464734254696_sc,1728057.9
8718193394328848888_sc,1715728.0
8481590510552221436_sc,65850.945
4030796741727063047_sc,162989.94
6788263864789180837_sc,158098.88
6882415613717032537_sc,98697.57
1133880126186954797_sc,18481.324
5292654505856021300_sc,129766.164
5646749692084814295_sc,4205.9263
6607770501328435733_sc,1705074.0
6479173960645380705_sc,8187.4116
392798305182178982_sc,53342.95
6844263324953011082_sc,90352.77
4317407686591206791_sc,83176.88
8069925895302323513_sc,110270.68
5639719758513306774_sc,1736180.6
108231328570666469_sc,107402.23
383586656947624533_sc,24136.896
8903810097136186946_sc,76607.71
2254226737493096500_sc,3410.5066
7421143962362256121_sc,161930.14
1692992807345021522_sc,1725481.0
282033257171659361_sc,102716.125
4112327114776942253_sc,61758.3
4495196882362923091_sc,1715631.9
1780144482667653754_sc,1732825.4
4738220270352323502_sc,148039.88
7869292559453359523_sc,75792.52
6040502214948801482_sc,149914.3
1925928790535683767_sc,1705984.0
7867344412116806395_sc,46759.84
7546679775137719549_sc,27396.959
3091976583216395919_sc,168790.89
7324505405049702086_sc,1703550.1
5352728358253545893_sc,1735297.6
7299314657526954342_sc,1730188.6
8923156256733490197_sc,80380.914
3631701347846474298_sc,1719495.9
5690840281387909304_sc,162085.89
3649812017867912909_sc,1729369.6
3217535402487409940_sc,1714743.9
1393366487534174572_sc,90814.35
3317895144896153047_sc,143521.75
4569684821846534009_sc,1700358.4
7389985421974738440_sc,8403.303
6439763279556208398_sc,69871.03
6074049174627990109_sc,77655.875
96381821872312134_sc,169318.81
324061885915538563_sc,18992.07
1033522880829294442_sc,143534.52
423248462078476349_sc,47620.605
4590749128733315167_sc,857148.8
8205971616849563382_sc,46817.707
4532352677654357451_sc,1721612.0
7218069721772202764_sc,55334.52
3908759930634639420_sc,1721567.9
4656450519210957758_sc,100765.85
7942565759733205734_sc,1716285.1
2572019516144157228_sc,1689739.0
1888071337550440633_sc,1715123.4
4798373696195094077_sc,90814.35
1496790356654566638_sc,53971.36
153423664038343336_sc,1728908.4
8855188806487523570_sc,62380.395
7892697031438199702_sc,151827.95
1043490501817526839_sc,54850.973
2274576656451142796_sc,1723180.5
1089739181735566343_sc,15888.882
8786152657548360929_sc,78190.805
7796131525028560079_sc,18186.592
1823431266563893249_sc,1737366.9
5552332592122669099_sc,46730.996
9035390092746374612_sc,147702.95
5983543045937039909_sc,60871.094
9058880526976052514_sc,90772.68
140648232597711437_sc,66394.04
6201009162906547694_sc,90853.46
3798941622227247901_sc,1661937.1
1029116741789991566_sc,1724243.4
5159393226021135302_sc,1716138.0
6326361340566345316_sc,1712495.4
7005928128156109999_sc,78484.13
8863555101890423612_sc,80089.555
5539661441402435548_sc,109471.16
2181661644139692024_sc,41123.19
5152808216695367826_sc,134868.88
8113835460423544937_sc,102473.9
6291793259120531084_sc,1725862.1
2326638414373856167_sc,110241.836
1126734186729348073_sc,57358.125
1416028780959966630_sc,73407.94
3391191019776029889_sc,155859.55
6025253212188218965_sc,100654.38
2443305859681615250_sc,1719675.4
2422184043120899512_sc,8001.8203
2100470581651527447_sc,1731603.5
6242526744033364121_sc,79576.38
7286904995297198269_sc,2508.4807
704005238850906428_sc,153418.08
3225632571769838722_sc,164776.64
4526141056709755800_sc,1722396.5
8313876267709063898_sc,13896.837
6970880834172593994_sc,1724968.6
3848747541814824094_sc,24603.88
8521555469600703255_sc,108559.72
6343441144282726464_sc,151898.8
6515852262716854235_sc,107165.22
919619075088438111_sc,26081.611
5264481955061345042_sc,82245.695
1998062926038374861_sc,1730622.0
1199488466499506612_sc,56214.496
3279800436948899752_sc,1729739.9
5017476069738701307_sc,106181.12
4720155649882573154_sc,1710693.6
2219428438604629536_sc,21293.438
4649133670909975738_sc,6209.4185
4456973571942534284_sc,1721211.1
6921796592267570203_sc,92505.195
4452988326078729817_sc,170800.69
7581755139418755267_sc,145933.36
8357433390727289849_sc,1687075.6
5207825317209722197_sc,1729417.0
2789699445570283096_sc,85155.77
2126895996246646463_sc,61758.3
2239527541587554025_sc,170618.44
848593649390701443_sc,1725790.5
1392327325375134465_sc,1717317.5
7918047655241357873_sc,19993.803
7874684886545624858_sc,74241.66
98592762182397421_sc,12975.372
6234097627853352380_sc,113686.914
2733735924334517295_sc,46389.215
3570270423283029959_sc,1713072.4
3426413193289344483_sc,50035.25
9223066346652706056_sc,120992.21
180216560315990842_sc,28938.74
4314285470492082108_sc,3598.1113
7033780227152599321_sc,1734359.9
6512104018267115452_sc,99133.01
7574238297337055683_sc,139363.2
825671191069196682_sc,55567.906
5835958767736430815_sc,6105.687
5202256143189939252_sc,97291.21
1929457680622559072_sc,1682423.9
6491022435363370030_sc,73419.03
1689469525508159877_sc,81356.734
747233536835554315_sc,13720.511
8339051581845073711_sc,141542.23
7525506234735223455_sc,1706971.0
3055604284802755804_sc,60460.58
2204641549464013411_sc,90919.29
6402633112033416092_sc,1722178.6
6100530229833346588_sc,1684881.5
1108008600520278707_sc,105995.65
146289249386028334_sc,102355.22
3084714220364005999_sc,1702833.4
4246553730955736193_sc,13299.636
6182913144260887871_sc,7508.709
7600891153051431689_sc,77460.25
5273511511801552553_sc,140039.3
5849126792949989721_sc,12728.051
5118857204861939217_sc,169998.89
4100261058394698655_sc,160309.36
8514464425510667003_sc,1729378.5
8455689012087966566_sc,144791.86
4019251387873503206_sc,1719743.0
3724549151593031878_sc,37424.36
6126229990331666764_sc,1722328.4
7211391220219147646_sc,91807.125
2005977272725103794_sc,1715284.0
4593854534337620117_sc,82996.24
5017159404559920330_sc,5553.307
2513535629583257502_sc,53542.848
457382389415848180_sc,1730622.0
9171553333309323797_sc,164776.64
7880256581907986311_sc,152610.4
3793443733315760809_sc,153132.06
1047858913830802717_sc,3583.448
1764363928230829803_sc,44939.465
2277839625888372691_sc,1701937.0
1386427927894388299_sc,102406.21
7488159752570102908_sc,107402.23
5574960291911667626_sc,1722949.0
985776257724285416_sc,99133.01
8308323166553336090_sc,1734946.4
8221715957674016329_sc,77875.26
2201912423132761201_sc,90811.78
1632768735665713187_sc,102751.125
2687752113558198772_sc,1687429.6
5293341435789339339_sc,1723995.0
628564023543631462_sc,44985.797
802691616162595222_sc,1710073.6
4637434045264896751_sc,62633.11
1985014167451113305_sc,5546.4937
6570506544390469460_sc,153297.14
7116099451725838166_sc,145073.73
7922196042830002474_sc,10579.218
4838855798111496515_sc,55192.793
1137883198477304922_sc,62200.723
7331295754714166987_sc,1723077.0
7344617990412477893_sc,1696658.1
514777913611460885_sc,15283.71
4274116982066175395_sc,1722179.1
524881622888741358_sc,134336.98
2374067668028035243_sc,158946.45
6575384740290054221_sc,12217.456
1642516505692847717_sc,70603.65
4519231393615291061_sc,1705959.1
457890958433040721_sc,152227.81
1074490120708846463_sc,71087.86
8789611561841128359_sc,11291.922
6258662315426980147_sc,1714910.4
1686450955936433159_sc,44340.387
5222005213591937799_sc,135463.2
2079380101792932422_sc,1727981.5
7321728039246545391_sc,101494.555
1711604118195584285_sc,99133.01
957815622995710666_sc,68282.81
8145726749226755462_sc,1725809.1
8342321838845058986_sc,57486.645
6834758423044397769_sc,121505.625
6066212473511121992_sc,1725449.0
7963293562863653078_sc,78338.086
4443769629206293407_sc,1727288.4
3095776375925596930_sc,11291.922
449730397986126475_sc,40062.902
2221715478810625636_sc,152658.19
8337553925456983256_sc,67354.55
2856835842566528248_sc,18186.592
8867083496477732031_sc,108538.445
7856389782992194092_sc,91295.664
2957910033193362363_sc,40916.438
3412007786896603915_sc,171166.98
6049505218552135634_sc,1722867.1
8301398759863575326_sc,91599.664
231154415417221990_sc,7208.5493
8461417592394245689_sc,167090.06
7687869176570266277_sc,99014.34
9025481957926294755_sc,17436.71
6263199230128569805_sc,83751.43
8043558164930653660_sc,172448.55
4859470260806924916_sc,1723322.4
1945662035250450671_sc,1212.4628
1591795468629437997_sc,6623.35
5895822898010668310_sc,139880.8
3242304883984152094_sc,1717526.4
870198394144322708_sc,1729400.5
2498670551527143483_sc,75749.13
6544721238819988429_sc,1739675.6
1496614295602879793_sc,55724.28
2547403644542293705_sc,1723355.5
1414357434149440624_sc,1718915.1
1003051508467163523_sc,102814.98
1923733802126555810_sc,1722023.9
1439275045263172136_sc,100944.375
2404900851527753501_sc,58601.426
2596780201512935522_sc,69307.414
5086265636814061471_sc,76898.02
618150094777257915_sc,1722286.6
5134620428258894062_sc,108317.664
2496039127878793324_sc,3448.338
3777070898437356315_sc,1721752.6
5992661366496173789_sc,1713941.0
2359854072563791845_sc,10126.36
7337659706809383151_sc,102931.02
2843461919770833482_sc,4177.135
9124808207615183493_sc,142210.56
3551059800267887169_sc,1728330.4
7116914167103477120_sc,1726758.0
4640263909470298341_sc,51557.953
387288645843611621_sc,1743068.0
1235579546833518548_sc,83822.44
2735841230514337366_sc,149200.98
3673192258024282956_sc,148208.97
821600955126195106_sc,13299.636
8002527227373322221_sc,57029.23
7750633817843857819_sc,153410.67
3844333390231341141_sc,27537.682
7131023631601046933_sc,59445.8
2945287646899728528_sc,153185.95
817623064393715044_sc,1709069.6
2423672114753316105_sc,1729984.0
7348444661829824651_sc,29829.719
5842598683932581291_sc,171376.5
4492139343440590291_sc,154485.92
7884743525042338545_sc,66678.25
6044947548970830525_sc,107830.5
6329251805234804915_sc,149092.19
4516705948352924111_sc,62417.797
4430724888848799294_sc,1706103.5
6178739940443149036_sc,1724197.0
1032698138613648353_sc,157400.38
8676963699671010130_sc,14791.349
5282872219663658626_sc,113322.57
1945756393286864089_sc,138787.88
1971956541663602421_sc,1723171.4
395478281379530405_sc,28122.08
4798996858666977830_sc,61758.3
4486961559427129519_sc,68939.38
6573640216948611354_sc,102473.9
1374011393469503047_sc,1657363.0
6702152358622079405_sc,1723346.0
2382060807293904424_sc,112167.66
5981940951580680361_sc,166847.25
1052222836519880704_sc,101775.9
8165982209742961830_sc,57518.02
3564761235060132067_sc,1725280.0
2755684123697892921_sc,1730685.1
8864482950176907997_sc,12262.276
7415651004945144236_sc,1725937.1
4848091902909944672_sc,163639.69
6015936607559043078_sc,92903.1
6127509655484923620_sc,11291.922
3429205098229594876_sc,1724424.4
6856398561302672790_sc,2485.4722
6151606074823317911_sc,1719057.5
3991452042200418560_sc,1731686.0
3920644522790584542_sc,17104.412
6167844896058431553_sc,1714455.9
5121907421297366398_sc,23147.93
3955593576017440035_sc,1720797.9
2755293009380507362_sc,1722801.1
3399230603754758994_sc,1726643.6
2610164195877363102_sc,85864.24
1672839276367914189_sc,13270.809
2329034744831253688_sc,57161.47
3734795623899333134_sc,1725399.5
8522523860784126714_sc,1724456.4
3192450333873328051_sc,1724417.4
1703499919560624994_sc,121437.97
7420836724148451904_sc,47387.25
6512238016297104042_sc,141120.61
4623647740556113357_sc,1727612.0
7412095708117078849_sc,1720149.0
4972894545820383713_sc,67451.31
707212549542016303_sc,97774.32
7663185348708857114_sc,1716210.4
5275198796278360154_sc,148856.42
3758899882405018270_sc,1730060.9
9124258112494996389_sc,1693424.6
7201054224862050658_sc,1242.951
4328111680377220643_sc,134145.3
7184919124954553816_sc,1711487.0
8179809223271132880_sc,167908.44
7398010178166438642_sc,105469.22
7885686239699559481_sc,1727995.4
6699535268413819981_sc,1730421.6
4998773981259661342_sc,168815.66
1146767088905768024_sc,1730585.6
1663628656165909109_sc,108059.34
6655550003043052076_sc,62543.03
5431523415430191514_sc,147921.72
2547558847318875550_sc,78745.18
5667714388840023093_sc,1719400.0
970509188226407688_sc,1726558.1
3055075472568263833_sc,164413.56
2694463116575819379_sc,170106.86
8806061440564653310_sc,70935.11
4830646359298860196_sc,91030.836
8268034627063355294_sc,83061.31
198157640360362854_sc,91930.18
7099140039677586221_sc,8992.629
6556229972181451133_sc,76974.25
1479281149675497155_sc,133133.89
5399083949319251411_sc,106785.07
6565413393537316721_sc,1724071.5
2682827414748524326_sc,159200.52
9044059217101666025_sc,1708213.6
8629343198911560976_sc,155647.5
4750966372802461291_sc,1690052.0
3376604608691370028_sc,1726656.1
3895368280419254536_sc,158368.02
6045094292893375490_sc,93307.98
5079122203829478294_sc,1706251.6
3638262974794985366_sc,1722648.0
3069713586445103485_sc,1733066.4
8435194571332129866_sc,99063.73
7951510717304324289_sc,145822.3
9094609392427372039_sc,27453.014
6721215519335730457_sc,25415.594
